"article","stage_text"
"CP-000673-RTSv","Сверловка"
"CP-000673-RT","Токарные работы"
"CP-000673-R","Заготовка"
"CP-000680-RTSvZ","Зенковка"
"CP-000680-RTSv","Сверловка"
"CP-000680-RT","Токарные работы"
"CP-000680-R","Заготовка"
"CP-000681-RT","Токарные работы"
"CP-000681-R","Заготовка"
"CP-000682-R","Заготовка"
"CP-000683-G","Гибка"
"CP-000684-G","Гибка"
"CA-002660-SP","Покраска"
"CA-002660-S","Сборка/сварка"
"CP-000685-RTSvZ","Зенковка"
"CP-000685-RTSv","Сверловка"
"CP-000685-RT","Токарные работы"
"CP-000685-R","Заготовка"
"CP-000686-G","Гибка"
"CA-002670-SP","Покраска"
"CA-002670-S","Сборка/сварка"
"CP-000687-RMo","Зачистка"
"CP-000687-R","Заготовка"
"CP-000690-RGMo","Зачистка"
"CP-000690-RG","Гибка"
"CP-000690-R","Заготовка"
"CA-002690-SP","Покраска"
"CA-002690-S","Сборка/сварка"
"CP-000692-RTSvZ","Зенковка"
"CP-000692-RTSv","Сверловка"
"CP-000692-RT","Токарные работы"
"CP-000692-R","Заготовка"
"CA-002700-SP","Покраска"
"CA-002700-S","Сборка/сварка"
"CP-000697-G","Гибка"
"CP-000698-RT","Токарные работы"
"CP-000698-R","Заготовка"
"CA-002710-SP","Покраска"
"CP-002710-S","Сборка/сварка"
"CP-000701-RTFMo","Механическая обработка"
"CP-000701-RTF","Фрезеровка"
"CP-000701-RT","Токарные работы"
"CP-000701-R","Заготовка"
"CA-002720-SP","Покраска"
"CA-002720-S","Сборка/сварка"
"CP-000700","Заготовка"
"CP-000701-RTFMo","Механическая обработка"
"CP-000701-RTF","Фрезеровка"
"CP-000701-RT","Токарные работы"
"CP-000701-R","Заготовка"
"CA-003600-SP","Покраска"
"CA-003600-S","Сборка/сварка"
"CP-000691-G","Гибка"
"CP-000696-G","Заготовка"
"CP-000694-G","Гибка"
"CP-000692-RTSvZ","Зенковка"
"CP-000692-RTSv","Сверловка"
"CP-000692-RT","Токарные работы"
"CP-000692-R","Заготовка"
"CP-000693-RT","Токарные работы"
"CP-000693-R","Заготовка"
"CP-000702-RMoSvZFMo","Механическая обработка"
"CP-000702-RMoSvZF","Фрезеровка"
"CP-000702-RMoSvZ","Зенковка"
"CP-000702-RMoSv","Сверловка"
"CP-000702-RMo","Механическая обработка"
"CP-000702-R","Заготовка"
"CP-000703-RMo","Механическая обработка"
"CP-000703-R","Заготовка"
"CP-000704-GP","Покраска"
"CP-000704-G","Гибка"
"CP-000705-GP","Покраска"
"CP-000705-G","Гибка"
"CP-000706-GP","Покраска"
